,roll_yield,near_by,deferred
2016-09-01,-0.04643658020401417,AG1612,AG1706
2016-09-02,-0.049744469493915366,AG1612,AG1706
2016-09-05,-0.04353476963583121,AG1612,AG1706
2016-09-06,-0.042356131586093734,AG1612,AG1706
2016-09-07,-0.04079486946743395,AG1612,AG1706
2016-09-08,-0.04438151407000554,AG1612,AG1706
2016-09-09,-0.04724271436845933,AG1612,AG1706
2016-09-12,-0.04837445122800765,AG1612,AG1706
2016-09-13,-0.04619142958929879,AG1612,AG1706
2016-09-14,-0.046810154368219226,AG1612,AG1706
2016-09-19,-0.0443231436057047,AG1612,AG1706
2016-09-20,-0.045503513966832054,AG1612,AG1706
2016-09-21,-0.04505822612005621,AG1612,AG1706
2016-09-22,-0.04331321995971935,AG1612,AG1706
2016-09-23,-0.04500639960143795,AG1612,AG1706
2016-09-26,-0.04688959501953581,AG1612,AG1706
2016-09-27,-0.04561201105807525,AG1612,AG1706
2016-09-28,-0.04917900299907319,AG1612,AG1706
2016-09-29,-0.049053824067505636,AG1612,AG1706
2016-09-30,-0.045424895843331196,AG1612,AG1706
2016-10-10,-0.046675405349291606,AG1612,AG1706
2016-10-11,-0.04774436150827807,AG1612,AG1706
2016-10-12,-0.04709599197687019,AG1612,AG1706
2016-10-13,-0.04654827589242576,AG1612,AG1706
2016-10-14,-0.045693569296190575,AG1612,AG1706
2016-10-17,-0.047107669266131205,AG1612,AG1706
2016-10-18,-0.045111007790826434,AG1612,AG1706
2016-10-19,-0.04715346112799404,AG1612,AG1706
2016-10-20,-0.04837172387407952,AG1612,AG1706
2016-10-21,-0.04938522518074283,AG1612,AG1706
2016-10-24,-0.048053304441339956,AG1612,AG1706
2016-10-25,-0.04579980891992883,AG1612,AG1706
2016-10-26,-0.048906927916715096,AG1612,AG1706
2016-10-27,-0.04915687283282237,AG1612,AG1706
2016-10-28,-0.053025117228940225,AG1612,AG1706
2016-10-31,-0.051774997241871706,AG1612,AG1706
2016-11-01,-0.05197597608820238,AG1612,AG1706
2016-11-02,-0.051791971335674133,AG1612,AG1706
2016-11-03,-0.0492565743478306,AG1612,AG1706
2016-11-04,-0.05138954828168279,AG1612,AG1706
2016-11-07,-0.05274820244412359,AG1612,AG1706
2016-11-08,-0.053806363777666705,AG1612,AG1706
2016-11-09,-0.0555077255643418,AG1612,AG1706
2016-11-10,-0.059939940223457694,AG1612,AG1706
2016-11-11,-0.06343943149518466,AG1612,AG1706
2016-11-14,-0.06084865789840971,AG1612,AG1706
2016-11-15,-0.06081881089558989,AG1612,AG1706
2016-11-16,-0.06055149980760238,AG1612,AG1706
2016-11-17,-0.05983771477890047,AG1612,AG1706
2016-11-18,-0.05939560478348406,AG1612,AG1706
2016-11-21,-0.059456534192299376,AG1612,AG1706
2016-11-22,-0.061423301731443135,AG1612,AG1706
2016-11-23,-0.06004111653882411,AG1612,AG1706
2016-11-24,-0.06148277090195808,AG1612,AG1706
2016-11-25,-0.06013267144951441,AG1612,AG1706
2016-11-28,-0.06369657768873865,AG1612,AG1706
2016-11-29,-0.06468648944044914,AG1612,AG1706
2016-11-30,-0.06456907067952071,AG1612,AG1706
2016-12-01,-0.06320182974300308,AG1612,AG1706
2016-12-02,-0.06623934259362407,AG1612,AG1706
2016-12-05,-0.06589979932042872,AG1612,AG1706
2016-12-06,-0.07025112456442023,AG1612,AG1706
2016-12-07,-0.06533979435349548,AG1612,AG1706
2016-12-08,-0.066018909566923,AG1612,AG1706
2016-12-09,-0.07598894286007403,AG1612,AG1706
2016-12-12,-0.07001434187005727,AG1612,AG1706
2016-12-13,-0.07386187805457696,AG1612,AG1706
2016-12-14,-0.09636375482733263,AG1612,AG1706
2016-12-15,-0.07219263062852357,AG1612,AG1706
2016-12-16,-0.07048008017227132,AG1701,AG1706
2016-12-19,-0.062018954841329584,AG1701,AG1706
2016-12-20,-0.0662572153450286,AG1701,AG1706
2016-12-21,-0.06257561792336672,AG1701,AG1706
2016-12-22,-0.06338611187165688,AG1701,AG1706
2016-12-23,-0.06392261181091935,AG1701,AG1706
2016-12-26,-0.04751424220865304,AG1701,AG1706
2016-12-27,-0.056515637480251665,AG1701,AG1706
2016-12-28,-0.05829759524061996,AG1701,AG1706
2016-12-29,-0.0654802520558081,AG1701,AG1706
2016-12-30,-0.12639227291368213,AG1701,AG1706
2017-01-03,-0.05175563060559988,AG1701,AG1706
2017-01-04,-0.06240233802120799,AG1701,AG1706
2017-01-05,-0.06110489181130411,AG1701,AG1706
2017-01-06,-0.05420257672913806,AG1701,AG1706
2017-01-09,-0.0693295954849324,AG1701,AG1706
2017-01-10,-0.05888420983550472,AG1701,AG1706
2017-01-11,-0.06015645263323508,AG1701,AG1706
2017-01-12,-0.06328491662682634,AG1701,AG1706
2017-01-13,-0.062049498168949155,AG1701,AG1706
2017-01-16,-0.055646177925145174,AG1701,AG1706
2017-01-17,-0.05063561596857957,AG1706,AG1712
2017-01-18,-0.05292954033946004,AG1706,AG1712
2017-01-19,-0.05386235598753965,AG1706,AG1712
2017-01-20,-0.05102563157043981,AG1706,AG1712
2017-01-23,-0.048817929757849855,AG1706,AG1712
2017-01-24,-0.05084206632807799,AG1706,AG1712
2017-01-25,-0.04752890983317885,AG1706,AG1712
2017-01-26,-0.0461710091668342,AG1706,AG1712
2017-02-03,-0.048253245228273345,AG1706,AG1712
2017-02-06,-0.047621297387437214,AG1706,AG1712
2017-02-07,-0.0502992109361287,AG1706,AG1712
2017-02-08,-0.049818730453337,AG1706,AG1712
2017-02-09,-0.04926824217249146,AG1706,AG1712
2017-02-10,-0.051852113396938806,AG1706,AG1712
2017-02-13,-0.050434612725755446,AG1706,AG1712
2017-02-14,-0.051769242185695265,AG1706,AG1712
2017-02-15,-0.047766260073547534,AG1706,AG1712
2017-02-16,-0.049085086077249165,AG1706,AG1712
2017-02-17,-0.04907361510818262,AG1706,AG1712
2017-02-20,-0.04881725575454514,AG1706,AG1712
2017-02-21,-0.05182967761644474,AG1706,AG1712
2017-02-22,-0.050955192707624136,AG1706,AG1712
2017-02-23,-0.04868014716696205,AG1706,AG1712
2017-02-24,-0.04762680262360498,AG1706,AG1712
2017-02-27,-0.04524356077222018,AG1706,AG1712
2017-02-28,-0.04770868419422768,AG1706,AG1712
2017-03-01,-0.049852569498794096,AG1706,AG1712
2017-03-02,-0.04966914267479615,AG1706,AG1712
2017-03-03,-0.05220989403010089,AG1706,AG1712
2017-03-06,-0.05209861241829599,AG1706,AG1712
2017-03-07,-0.05260343508798562,AG1706,AG1712
2017-03-08,-0.05120509377945309,AG1706,AG1712
2017-03-09,-0.055249454616236274,AG1706,AG1712
2017-03-10,-0.05530757427334622,AG1706,AG1712
2017-03-13,-0.05720215403270233,AG1706,AG1712
2017-03-14,-0.05559977655519245,AG1706,AG1712
2017-03-15,-0.055038174188781305,AG1706,AG1712
2017-03-16,-0.0556053399265118,AG1706,AG1712
2017-03-17,-0.054301978131901796,AG1706,AG1712
2017-03-20,-0.05507112710383592,AG1706,AG1712
2017-03-21,-0.055711255935367944,AG1706,AG1712
2017-03-22,-0.05434474927421372,AG1706,AG1712
2017-03-23,-0.0558483992188535,AG1706,AG1712
2017-03-24,-0.0556053399265118,AG1706,AG1712
2017-03-27,-0.05541561360658613,AG1706,AG1712
2017-03-28,-0.05631531132377109,AG1706,AG1712
2017-03-29,-0.05447624877219088,AG1706,AG1712
2017-03-30,-0.05349920110730546,AG1706,AG1712
2017-03-31,-0.053662903846860635,AG1706,AG1712
2017-04-05,-0.053911619977056596,AG1706,AG1712
2017-04-06,-0.05531170419091637,AG1706,AG1712
2017-04-07,-0.05145723633284466,AG1706,AG1712
2017-04-10,-0.05461576464380891,AG1706,AG1712
2017-04-11,-0.0550449927827749,AG1706,AG1712
2017-04-12,-0.05373527290575206,AG1706,AG1712
2017-04-13,-0.05376917116953661,AG1706,AG1712
2017-04-14,-0.05780080925982097,AG1706,AG1712
2017-04-17,-0.05312704105236646,AG1706,AG1712
2017-04-18,-0.05077715377692604,AG1706,AG1712
2017-04-19,-0.05358722441650955,AG1706,AG1712
2017-04-20,-0.05356204535528401,AG1706,AG1712
2017-04-21,-0.053121453322167334,AG1706,AG1712
2017-04-24,-0.05245889673215813,AG1706,AG1712
2017-04-25,-0.051852113396938806,AG1706,AG1712
2017-04-26,-0.05411559635470328,AG1706,AG1712
2017-04-27,-0.05228742454985442,AG1706,AG1712
2017-04-28,-0.054719035791634285,AG1706,AG1712
2017-05-02,-0.05665824555562525,AG1706,AG1712
2017-05-03,-0.055239977290737624,AG1706,AG1712
2017-05-04,-0.057146744888111896,AG1706,AG1712
2017-05-05,-0.05729034928677634,AG1706,AG1712
2017-05-08,-0.05564966108717524,AG1706,AG1712
2017-05-09,-0.054908372404525396,AG1706,AG1712
2017-05-10,-0.0521482523221629,AG1706,AG1712
2017-05-11,-0.04974505903773668,AG1706,AG1712
2017-05-12,-0.04794237048576843,AG1706,AG1712
2017-05-15,-0.051577368587572156,AG1706,AG1712
2017-05-16,-0.05076039370827157,AG1706,AG1712
2017-05-17,-0.04968894114615646,AG1706,AG1712
2017-05-18,-0.050335743413853565,AG1706,AG1712
2017-05-19,-0.05143705857597823,AG1706,AG1712
2017-05-22,-0.05275789699541335,AG1706,AG1712
2017-05-23,-0.05393805692427679,AG1706,AG1712
2017-05-24,-0.054431860331032145,AG1706,AG1712
2017-05-25,-0.0565495569363329,AG1706,AG1712
2017-05-26,-0.057048372252548774,AG1706,AG1712
2017-05-31,-0.05735869012166209,AG1706,AG1712
2017-06-01,-0.06000202081327176,AG1706,AG1712
2017-06-02,-0.05433355948942707,AG1706,AG1712
2017-06-05,-0.055429666688879206,AG1706,AG1712
2017-06-06,-0.057989200484534806,AG1706,AG1712
2017-06-07,-0.05495786521955562,AG1706,AG1712
2017-06-08,-0.0555320623256287,AG1706,AG1712
2017-06-09,-0.058405536136515196,AG1706,AG1712
2017-06-12,-0.05541350345787857,AG1706,AG1712
2017-06-13,-0.05472915862864611,AG1706,AG1712
2017-06-14,-0.05753992851506756,AG1706,AG1712
2017-06-15,-0.053162608453940205,AG1706,AG1712
2017-06-16,-0.05713839598837357,AG1707,AG1712
2017-06-19,-0.05559160929233617,AG1707,AG1712
2017-06-20,-0.047630923363496835,AG1712,AG1801
2017-06-21,-0.023928223282373394,AG1712,AG1801
2017-06-22,-0.02372128274303642,AG1712,AG1801
2017-06-23,-0.023656981540615983,AG1712,AG1801
2017-06-26,-0.02960040968083895,AG1712,AG1801
2017-06-27,-0.014868047992975263,AG1712,AG1801
2017-06-28,-0.059040709505398234,AG1712,AG1801
2017-06-29,-0.03838113740662443,AG1712,AG1801
2017-06-30,-0.050727416085744576,AG1712,AG1801
2017-07-03,-0.026929321861180848,AG1712,AG1801
2017-07-04,-0.01230769338660527,AG1712,AG1801
2017-07-05,-0.006150692087502057,AG1712,AG1801
2017-07-06,-0.02160216604977417,AG1712,AG1801
2017-07-07,-0.021719462942872633,AG1712,AG1801
2017-07-10,-0.05640228753711424,AG1712,AG1806
2017-07-11,-0.05913841624589732,AG1712,AG1806
2017-07-12,-0.05673770206548075,AG1712,AG1806
2017-07-13,-0.05475548598198508,AG1712,AG1806
2017-07-14,-0.0554718970406238,AG1712,AG1806
2017-07-17,-0.0549104406424154,AG1712,AG1806
2017-07-18,-0.054334453836016434,AG1712,AG1806
2017-07-19,-0.054195545062659195,AG1712,AG1806
2017-07-20,-0.0532681935185332,AG1712,AG1806
2017-07-21,-0.05287547408756911,AG1712,AG1806
2017-07-24,-0.05290237217433927,AG1712,AG1806
2017-07-25,-0.05229387893680823,AG1712,AG1806
2017-07-26,-0.05422326996441454,AG1712,AG1806
2017-07-27,-0.052973206409148293,AG1712,AG1806
2017-07-28,-0.051083823938953166,AG1712,AG1806
2017-07-31,-0.05092926141776233,AG1712,AG1806
2017-08-01,-0.053336494164322554,AG1712,AG1806
2017-08-02,-0.05291980649374626,AG1712,AG1806
2017-08-03,-0.05278154581494825,AG1712,AG1806
2017-08-04,-0.05248850325069587,AG1712,AG1806
2017-08-07,-0.054189871555887385,AG1712,AG1806
2017-08-08,-0.05535074585388899,AG1712,AG1806
2017-08-09,-0.05514773692994021,AG1712,AG1806
2017-08-10,-0.05266076700591896,AG1712,AG1806
2017-08-11,-0.0495934162758631,AG1712,AG1806
2017-08-14,-0.05262814415331081,AG1712,AG1806
2017-08-15,-0.05147067320110921,AG1712,AG1806
2017-08-16,-0.05355207529040385,AG1712,AG1806
2017-08-17,-0.053244455810609534,AG1712,AG1806
2017-08-18,-0.05445881012570855,AG1712,AG1806
2017-08-21,-0.05264768857289043,AG1712,AG1806
2017-08-22,-0.055193061240140756,AG1712,AG1806
2017-08-23,-0.054211947656570655,AG1712,AG1806
2017-08-24,-0.05272625676397526,AG1712,AG1806
2017-08-25,-0.05474340267374498,AG1712,AG1806
2017-08-28,-0.054947150990056454,AG1712,AG1806
2017-08-29,-0.05389841121991455,AG1712,AG1806
2017-08-30,-0.052849105347483966,AG1712,AG1806
2017-08-31,-0.053903621240856694,AG1712,AG1806
